0.037,0.231,2.035
0.022,0.555,1.202
0.029,0.908,1.9
0.025,1.275,1.265
0.027,1.649,1.866
0.025,2.027,1.284
0.026,2.408,1.855
0.025,2.79,1.291
0.025,3.173,1.85
0.025,3.557,1.294
0.025,3.941,1.848
0.025,4.326,1.295
0.025,4.711,1.848
0.025,5.096,1.295
0.025,5.481,1.848
0.025,5.866,1.295
0.025,6.251,1.848
0.025,6.636,1.296
0.025,7.021,1.847
0.025,7.406,1.296
0.025,7.791,1.847
0.025,8.176,1.296
0.025,8.561,1.847
0.025,8.946,1.296
0.025,9.331,1.847
0.025,9.716,1.296
0.025,10.101,1.847
0.025,10.486,1.296
0.025,10.871,1.847
0.025,11.256,1.296
0.025,11.641,1.847
0.025,12.026,1.296
0.025,12.411,1.847
0.025,12.796,1.296
0.025,13.181,1.847
0.025,13.566,1.297
0.025,13.951,1.847
0.025,14.336,1.297
0.025,14.721,1.847
0.025,15.106,1.297
0.025,15.491,1.847
0.025,15.876,1.297
0.025,16.261,1.847
0.025,16.646,1.297
0.025,17.031,1.847
0.025,17.416,1.297
0.025,17.801,1.847
0.025,18.186,1.297
0.024,18.571,1.847
0.024,18.956,1.297
0.023,19.341,1.847
0.023,19.726,1.297
0.022,20.111,1.847
0.022,20.496,1.297
0.021,20.881,1.847
0.021,21.266,1.297
0.02,21.651,1.847
0.02,22.036,1.297
0.019,22.421,1.847
0.019,22.806,1.297
0.018,23.191,1.847
0.018,23.576,1.297
0.017,23.961,1.847
0.017,24.346,1.297
0.016,24.731,1.847
0.016,25.116,1.297
0.015,25.501,1.847
0.015,25.886,1.297
0.014,26.271,1.847
0.014,26.656,1.297
0.013,27.041,1.847
0.013,27.426,1.297
0.012,27.811,1.847
0.012,28.196,1.297
0.012,28.581,1.847
0.012,28.966,1.297
0.011,29.351,1.847
0.011,29.736,1.297
0.01,30.121,1.847
0.01,30.506,1.297
0.009,30.891,1.847
0.009,31.276,1.297
0.008,31.661,1.847
0.008,32.046,1.297
0.007,32.431,1.847
0.007,32.816,1.297
0.006,33.201,1.847
0.006,33.586,1.297
0.005,33.971,1.847
0.005,34.356,1.297
0.004,34.741,1.847
0.004,35.126,1.297
0.003,35.511,1.847
0.003,35.896,1.297
0.002,36.281,1.848
0.002,36.666,1.296
0.001,37.051,1.848
0.001,37.436,1.296
0.,37.82,1.849
-0.05,37.767,6.068
0.322,37.8,0.39
0.698,37.837,6.091
1.077,37.872,0.377
1.458,37.909,6.1
1.84,37.945,0.372
1.736,38.006,4.85
1.733,37.566,4.56
1.742,37.138,4.907
1.74,36.721,4.508
1.747,36.313,4.95
1.747,35.912,4.475
1.752,35.516,4.974
1.753,35.124,4.458
1.757,34.734,4.986
1.759,34.346,4.45
1.762,33.959,4.991
1.764,33.573,4.447
1.767,33.187,4.993
1.77,32.801,4.445
1.773,32.416,4.994
1.776,32.031,4.445
1.779,31.646,4.994
1.782,31.261,4.445
1.785,30.876,4.994
1.788,30.491,4.445
1.791,30.106,4.994
1.794,29.721,4.445
1.797,29.336,4.994
1.8,28.951,4.445
1.803,28.566,4.994
1.806,28.181,4.445
1.809,27.796,4.994
1.812,27.411,4.445
1.815,27.026,4.994
1.818,26.641,4.445
1.821,26.256,4.994
1.824,25.871,4.445
1.827,25.486,4.994
1.83,25.101,4.444
1.833,24.716,4.995
1.836,24.331,4.444
1.839,23.946,4.995
1.842,23.561,4.444
1.845,23.176,4.995
1.848,22.791,4.444
1.851,22.406,4.995
1.854,22.021,4.444
1.857,21.636,4.995
1.86,21.251,4.444
1.863,20.866,4.994
1.866,20.481,4.444
1.869,20.096,4.994
1.872,19.711,4.444
1.875,19.326,4.994
1.878,18.941,4.444
1.881,18.556,4.994
1.884,18.171,4.444
1.887,17.786,4.994
1.89,17.401,4.444
1.893,17.016,4.994
1.896,16.631,4.444
1.899,16.246,4.994
1.901,15.861,4.444
1.904,15.476,4.994
1.906,15.091,4.444
1.909,14.706,4.994
1.911,14.321,4.444
1.914,13.936,4.994
1.916,13.551,4.444
1.919,13.166,4.994
1.921,12.781,4.444
1.924,12.396,4.994
1.926,12.011,4.444
1.929,11.626,4.994
1.931,11.241,4.444
1.934,10.856,4.994
1.936,10.471,4.444
1.939,10.086,4.994
1.941,9.701,4.444
1.944,9.316,4.994
1.946,8.931,4.444
1.949,8.546,4.994
1.951,8.161,4.444
1.954,7.776,4.994
1.957,7.391,4.444
1.96,7.006,4.994
1.962,6.621,4.444
1.965,6.236,4.994
1.967,5.851,4.444
1.97,5.466,4.994
1.972,5.081,4.444
1.975,4.696,4.994
1.977,4.311,4.443
1.979,3.926,4.995
1.982,3.541,4.443
1.984,3.156,4.995
1.987,2.771,4.443
1.989,2.386,4.995
1.992,2.001,4.443
1.994,1.616,4.995
1.997,1.231,4.444
2.,0.846,4.994
2.002,0.461,4.443
1.989,0.471,0.555
2.223,0.455,5.59
2.539,0.361,0.113
2.888,0.281,5.722
3.247,0.188,0.055
3.614,0.099,5.754
3.457,0.056,1.062
3.479,0.37,1.937
3.476,0.72,1.223
3.486,1.085,1.866
3.489,1.458,1.26
3.496,1.835,1.845
3.501,2.215,1.273
3.507,2.597,1.837
3.512,2.98,1.278
3.518,3.364,1.834
3.523,3.748,1.28
3.529,4.132,1.833
3.534,4.517,1.28
3.54,4.901,1.833
3.545,5.286,1.28
3.551,5.67,1.833
3.556,6.055,1.28
3.562,6.439,1.833
3.567,6.824,1.28
3.573,7.208,1.833
3.578,7.593,1.28
3.584,7.977,1.833
3.589,8.362,1.28
3.595,8.746,1.833
3.6,9.131,1.28
3.606,9.515,1.833
3.611,9.9,1.28
3.617,10.284,1.833
3.622,10.669,1.28
3.628,11.053,1.833
3.633,11.438,1.28
3.639,11.822,1.833
3.644,12.207,1.28
3.65,12.591,1.833
3.655,12.976,1.281
3.66,13.361,1.832
